name;lat;lon;value
Mönchengladbach-Hilderath;51,131263;6,360819;9,5
Lennestadt-Theten;51,133253;8,034831;3,4
Solingen-Hohenscheid;51,14004;7,092982;19,5
Olbersleben;51,150665;11,332074;1,8
Südeichsfeld-Wendehausen;51,159397;10,247286;3,9
Vöhl-Buchenberg;51,159796;8,873772;4,9
Kubschütz, Kr. Bautzen;51,160383;14,504184;0
Görlitz;51,162129;14,950606;0,1
Wipperfürth-Gardeweg;51,163672;7,423388;16,8
Medebach-Berge;51,168307;8,712524;7,1
Pegau;51,169175;12,261667;0,6
Kahler Asten;51,180254;8,489068;15,2
Grimma-Kleinbothen;51,191822;12,764537;1,4
Pulsnitz;51,200617;14,020732;0,3
Eschwege;51,204132;10,013767;6,9
Mühlhausen/Thüringen-Görmar;51,206117;10,497829;3,3
Schmallenberg-Sellinghausen;51,212731;8,267235;8,5
Wuppertal-Buchenhofen;51,225598;7,105176;18,9
Freienbessingen;51,23266;10,769355;2,7
Belgershain;51,235936;12,551653;1,9
Freyburg/Unstrut-Zeuchfeld;51,237996;11,829549;0,5
Bibra, Bad-Altenroda;51,238782;11,577004;1,7
Waldeck-Alraft;51,24267;8,971761;3,7
Lüdenscheid;51,245158;7,642497;7,8
